answer,question,is_labeled,question_similaries
"Nguyên nhân gây nên bệnh tim bẩm sinh Ebstein hiện nay vẫn chưa được biết rõ. Các nghiên cứu chỉ ra rằng một số bệnh nhân mắc Ebstein có đột biến gen MYH7 mã hóa cho protein β – myosin.
Ngoài ra, một số yếu tố làm tăng nguy cơ mắc dị tật tim ở thai nhi như người mẹ khi mang thai mắc các bệnh như tiểu đường, cúm hoặc sử dụng một số loại thuốc trong giai đoạn thai kỳ. Tỷ lệ mắc bệnh còn tăng lên nếu trong gia đình có bố hoặc mẹ mắc các hội chứng bất thường về tim mạch.",Nguyên nhân bệnh Tim bẩm sinh Ebstein?,1,"['Đột biến gen gì có thể gây nên bệnh tim bẩm sinh Ebstein?', 'Các yếu tố làm tăng nguy cơ mắc dị tật tim ở thai nhi?', 'Bố mẹ mắc các hội chứng bất thường về tim mạch có ảnh hưởng gì tới tim thai nhi?']"
"Các triệu chứng của bệnh tim bẩm sinh Ebstein gồm có:
Trẻ xuất hiện các triệu chứng do thiếu oxy trong máu như hô hấp khó khăn, khó thở, thở gắng sức, da lạnh và tím tái, tim đập nhanh. Các triệu chứng này tăng lên khi trẻ em khóc, bú.
Khi lượng oxy trong máu không đáp ứng đủ cho cơ thể làm cho trẻ thở gắng sức, tim đập nhanh dẫn đến tình trạng mệt mỏi, kém ăn làm trẻ chậm lớn, chậm phát triển, cơ thể phát triển kém.
Khi trẻ xuất hiện các triệu chứng đó, cần khẩn trương đưa trẻ đến khám tại các cơ sở y tế để kiểm tra và điều trị một cách kịp thời và hiệu quả.",Triệu chứng bệnh Tim bẩm sinh Ebstein,1,"['Cách nhận biết trẻ bị thiếu oxy trong máu do tim?', 'Hậu quả oxy trong máu không đáp ứng đủ cho cơ thể?']"
"Sau khi điều trị, trẻ cần được theo dõi thường xuyên, kịp thời và đi kiểm tra theo lịch của bác sĩ để đề phòng xảy ra các biến chứng và điều trị hiệu quả.
Ngoài ra người mẹ khi mang thai cần tránh xa các môi trường độc hại không tốt cho thai nhi, tránh xa các tác nhân như thuốc lá, các nguồn bệnh như cúm, quai bị, rubella ... đồng thời đi khám bệnh thường xuyên để phát hiện và điều trị bệnh tránh ảnh hưởng đến thai nhi.",Phòng ngừa bệnh Tim bẩm sinh Ebstein?,1,"['Người mẹ khi mang thai cần chú ý những gì để tránh trẻ bị bệnh Tim bẩm sinh Ebstein?', 'Sau khi điều trị bệnh Tim bẩm sinh Ebstein cho trẻ cần chú ý những gì?']"
"Trong giai đoạn bào thai
Trẻ vẫn có thể được phát hiện bệnh tim bẩm sinh Ebstein thông qua siêu âm bào thai phát hiện hình ảnh bất thường về tim của trẻ. Khi phát hiện các bất thường về tim mạch của bào thai, bác sĩ cần kiểm tra kỹ lưỡng các bất thường bẩm sinh khác của thai nhi để loại trừ.
Đối với trẻ em sau khi sinh
Bệnh tim bẩm sinh Ebstein được chẩn đoán thông qua việc thăm khám lâm sàng kết hợp với thực hiện các xét nghiệm giúp chẩn đoán nhanh và chính xác:
Khám lâm sàng dựa trên diễn biến lâm sàng của trẻ như trẻ khó thở, da xanh, lạnh, tím tái, tim đập nhanh để định hướng chẩn đoán cho trẻ.
Thăm dò chức năng tim, phổi như nghe tim phổi bệnh nhân phát hiện bất thường về tiếng tim của trẻ, làm điện tim, siêu âm tim phát hiện bất thường về van tim và các van động mạch.
Các phương pháp chẩn đoán hình ảnh như Chụp Xquang lồng ngực, siêu âm giúp tìm và phát hiện các bất thường về tim để điều trị.",Các biện pháp chẩn đoán bệnh Tim bẩm sinh Ebstein?,1,"['Siêu âm thai nhi có thể phát hiện bất thường về tim hay không?', 'Chẩn đoán bệnh Tim bẩm sinh Ebstein trên lâm sàng như thế nào?']"
"Trong giai đoạn bào thai
Việc can thiệp điều trị bệnh tim bẩm sinh Ebstein là không thể. Do đó người mẹ mang thai cần kiểm tra định kỳ và đầy đủ để theo dõi chặt chẽ sự phát triển của thai nhi giúp phát hiện những vấn đề xảy ra khi mang thai
Khi trẻ được sinh ra
Các bác sĩ sẽ tiến hành thăm khám và đánh giá một cách chính xác tình trạng của trẻ. Trường hợp trẻ mắc bệnh tim bẩm sinh Ebstein nhưng mức độ bệnh không quá nghiêm trọng và nguy hiểm thì chưa có chỉ định can thiệp nhưng cần theo dõi một cách sát sao, liên tục đồng thời hỗ trợ trẻ về các vấn đề hô hấp và tim mạch cho tới khi tình trạng trẻ ổn định.
Phẫu thuật: Việc phẫu thuật được thực hiện nhằm mục đích can thiệp vào hoạt động của van hai lá giúp cho lượng máu tuần hoàn ở các ngăn tim trong cơ thể trở nên ổn định giúp tăng cường lượng máu tới phổi, cung cấp đầy đủ oxy cho cơ quan để các cơ quan hoạt động ổn định giúp cho trẻ phát triển bình thường.
Một số trường hợp trẻ em mắc bệnh tim bẩm sinh Ebstein ở mức độ nặng, việc phẫu thuật được tiến hành nhiều lần kết hợp với dùng thuốc điều trị cho tới khi trẻ ổn định.",Các biện pháp điều trị bệnh Tim bẩm sinh Ebstein?,1,"['Trong khi mang thai có thể điều trị bệnh Tim bẩm sinh Ebstein cho trẻ không?', 'Mục đích khi phẫu thuật bệnh Tim bẩm sinh Ebstein?', 'Biện pháp điều trị bệnh Tim bẩm sinh Ebstein cho từng mức độ nặng của trẻ?']"
"Tế bào thần kinh vận động là một loại tế bào thần kinh mà thân tế bào nằm ở vỏ não vận động, thân não hoặc tủy sống, và các sợi trục hướng về tủy sống hoặc bên ngoài tủy sống để điều khiển các cơ quan, chủ yếu là cơ và các tuyến một cách trực tiếp hoặc gián tiếp. 
Rối loạn thần kinh vận động là một nhóm bệnh có nguyên nhân là sự thoái hóa của các tế bào thần kinh vận động. Người bệnh sẽ dần dần cảm thấy khó khăn trong các hoạt động bình thường như nói, đi bộ, hít thở và nuốt. Nhóm bệnh lý này đặc trưng bằng sự yếu của các cơ được chi phối mà không có sự thay đổi cảm giác. 
Bệnh tế bào thần kinh vận động ở người lớn thường bắt đầu ở lứa tuổi từ 30 - 60 tuổi và thường đi kèm sự thoái hóa của các tế bào sừng trước tủy sống, nhân vận động của các dây thần kinh sọ thấp, đường dẫn truyền vỏ não tủy sống và vỏ não hành tủy. Bệnh thường xảy ra đơn lẻ nhưng cũng có trường hợp có tính chất gia đình.
Phân loại: có 5 loại khác nhau dựa vào đặc điểm lâm sàng
Liệt hành tủy tiến triển: tổn thương hành tủy nổi bật do các quá trình bệnh tác động đầu tiên vào các nhân vận động của các dây thần kinh sọ.
Liệt giả hành tủy: các dấu hiệu tổn thương hành tủy nổi bật nhưng do tổn thương bó vỏ não hành tủy hai bên và gây rối loạn chức năng của tế bào thần kinh vận động trung ương.
Teo cơ tiến triển do tủy: được đặc trưng bằng tổn thương tế bào thần kinh vận động ngoại biên ở chi do thoái hóa tế bào sừng trước của tủy sống.
Xơ cứng cột bên nguyên phát: chỉ tổn thương tế bào thần kinh vận động trung ương ở chi.
Xơ cứng cột bên teo cơ: tổn thương hỗn hợp tế bào thần kinh vận động trung ương và ngoại biên ở chi. Rối loạn này đôi khi có trong chứng sa sút trí tuệ và hội chứng Parkinson.
Các bệnh phổ biến nhất trong nhóm bệnh này bao gồm: xơ cứng cột bên teo cơ, teo cơ tủy, teo cơ cột sống.
Các rối loạn gặp ở trẻ em là bệnh Werdnig - Hoffman và hội chứng Kugelberg Welander.
Bệnh tiến triển và thường tử vong trong vòng 3 - 5 năm, nguyên nhân tử vong thường gặp nhất là do viêm phổi. Bệnh nhân có tổn thương hành tủy thường có tiên lượng rất xấu.
",Tổng quan bệnh Tế bào thần kinh vận động,1,"['Tế bào thần kinh vận động là gì?', 'Rối loạn thần kinh vận động là gì?', 'Phân loại các thể bệnh Tế bào thần kinh vận động?']"
"Bệnh tế bào thần kinh vận động có thể do tổn thương dây thần kinh vận động: một dây hay nhiều dây, hay tổn thương tại tuỷ sống. 
Nguyên nhân của bệnh cũng rất đa dạng, vì vậy việc đánh giá nguyên nhân là vô cùng cần thiết để tiên lượng và điều trị. 
Các nguyên nhân gây ra bệnh lý tế bào thần kinh vận động là:
Bệnh lý tự miễn
Viêm hoặc nhiễm trùng
Bệnh lý nội tiết
Bệnh lý chuyển hóa
Một dạng xơ cứng cột bên teo cơ gia đình do di truyền trội trên nhiễm sắc thể thường liên quan đến đột biến ở gen lưỡng đột biến đồng - kẽm superoxydase ở cánh tay dài của nhiễm sắc thể 21. 
Bệnh hành tủy liên quan đến nhiễm sắc thể giới tính X do có sự lặp lại của mã bộ ba ở gen tổng hợp thụ thể androgen và có tiên lượng lành tính hơn so với các dạng bệnh lý tế bào thần kinh vận động khác. 
Bệnh teo cơ tủy ở trẻ vị thành niên do thiếu hụt hexosaminidase với các bất thường trên sinh thiết trực tràng và giảm hexosaminidase A ở huyết thanh và bạch cầu. 
Các hội chứng thuần túy vận động tương tự bệnh tế bào thần kinh vận động cũng có thể xảy ra trong bệnh gamma đơn dòng hoặc các bệnh thần kinh vận động đa ổ với tắc nghẽn dẫn truyền. 
Bệnh tế bào thần kinh vận động cũng có thể gặp trong bệnh Hodgkin và tiên lượng tương đối lành tính.",Nguyên nhân bệnh Tế bào thần kinh vận động?,1,"['Bệnh tế bào thần kinh vận động có thể do tổn thương ở những vị trí nào?', 'Các nguyên nhân do di truyền cụ thể ở từng bệnh Tế bào thần kinh vận động?']"
"Khó nhai, khó nuốt, ho, khó thở và nói khó xảy ra trong tổn thương hành tủy. 
Trong liệt hành tủy tiến triển: lưỡi gà sa xuống, giảm phản xạ nôn, ứ đọng nước bọt ở họng, ho, lưỡi yếu có nhiều nếp nhăn. 
Trong liệt giả hành tủy: lưỡi nhỏ và co làm cho người bệnh không thể đưa nhanh lưỡi sang hai bên. 
Chi bị ảnh hưởng đặc trưng bằng các rối loạn vận động (yếu cơ, cứng cơ, giảm trương lực cơ, co cơ cục bộ) phản ánh rối loạn tế bào thần kinh vận động trung ương hoặc ngoại biên. 
Không có rối loạn cảm giác khách quan mặc dù bệnh nhân có thể có cảm giác kiến bò. 
Cơ tròn nhìn chung không rối loạn.
",Triệu chứng bệnh Tế bào thần kinh vận động?,1,"['Phân biệt triệu chứng thể liệt hành tủy tiến triển và liệt giả hành tủy?', 'Bị bệnh Tế bào thần kinh vận động có rối loạn cảm giác không?']"
Bệnh tế bào thần kinh vận động không phải là bệnh truyền nhiễm nên không có khả năng lây truyền cho người khác qua tiếp xúc thông thường.,Đường lây truyền bệnh Tế bào thần kinh vận động?,1,['Bệnh tế bào thần kinh vận động có lây không?']
"Các yếu tố nguy cơ có liên quan đến bệnh tế bào thần kinh vận động bao gồm:
Di truyền: ở Mỹ, khoảng 1/10 các trường hợp xơ cứng cột bên teo cơ là do di truyền. Teo cơ tủy cũng là một bệnh lý di truyền
Tuổi tác: sau 40 tuổi, nguy cơ mắc bệnh tế bào thần kinh vận động tăng cao đáng kể. Bệnh xơ cứng cột bên teo cơ thường gặp ở lứa tuổi từ 55-75 tuổi.
Giới tính: nam giới có nguy cơ mắc bệnh cao hơn nữ giới.
Một vài chuyên gia cho rằng việc luyện tập quân sự có thể làm tăng nguy cơ mắc bệnh.
Nhiều nghiên cứu cho thấy những vận động viên bóng đá chuyên nghiệp có nguy cơ tử vong vì bệnh xơ cứng cột bên teo cơ, bệnh Alzheimer và những bệnh lý thoái hóa thần kinh khác. Điều này có thể do tình trạng chấn thương đầu nhiều lần và các bệnh lý thần kinh.
",Các yếu tố nguy cơ có liên quan đến bệnh tế bào thần kinh vận động bao gồm?,1,"[' Bệnh xơ cứng cột bên teo cơ thường gặp ở lứa tuổi nào?', 'Vận động viên bóng đá chuyên nghiệp hay gặp các bệnh tế bào thần kinh vận động nào?']"
